Area & Type,Location,Rent,Security Deposit,Description,Locality
3 BHK Independent Floor ,PALAM VIHAR,"45,000",No Deposit,,
3 BHK Apartment ,Sector 54,2.15,No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Villa ,Sector 108,"30,000",No Deposit,,
1 RK Studio Apartment ,Sector 54,"21,999",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Apartment ,Sector 106,"31,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"70,000",No Deposit,,
1 BHK Independent Floor ,Sector 43,"28,000",No Deposit,,"Sector 43 is a residential neighbourhood located along DLF Golf Course Road . The area is surrounded by some of Gurgaons prominent neighbourhoods such as Sushant Lok Phase I , Sector 52 A, Sector 27..."
3 BHK Independent Floor ,PALAM VIHAR,"55,000",No Deposit,,
1 RK Studio Apartment ,Sector 54,"15,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
2 BHK Independent Floor ,PALAM VIHAR,"28,000",No Deposit,,
3 BHK Independent Floor ,PALAM VIHAR,"55,000",No Deposit,,
2 BHK Independent Floor ,PALAM VIHAR,"25,000",No Deposit,,
2 BHK Apartment ,Sector 111,"23,000",No Deposit,,
3 BHK Independent Floor ,Sector 50,"45,000",No Deposit,,
2 BHK Independent Floor ,Sector 49,"32,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
1 BHK Independent Floor ,Sector 49,"25,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
4 BHK Apartment ,Sector 37D,"39,000",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
3 BHK Independent Floor ,Sector 50,"55,000",No Deposit,,
3 BHK Independent Floor ,Sector 50,"50,000",No Deposit,,
4 BHK Apartment ,Sector 37D,"42,000",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
3 BHK Apartment ,Sector 37D,"34,600",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
3 BHK Apartment ,Sector 77,"25,000",No Deposit,,"Sector 77 is located along Delhi - Jaipur Expressway in Gurgaon . The area is surrounded by neighbourhoods like Sector 76 , Sector 78 , Harbala Dhani Shikohpur and Hasanpur. Connectivity Sector 77 is..."
3 BHK Independent Floor ,PALAM VIHAR,"38,000",No Deposit,,
3 BHK Apartment ,Sector 91,"32,000",No Deposit,,"Sector 91 is located close to DLF Road in New Gurgaon . The area is primarily a residential one and is surrounded by areas like Sector 92 , Sector 86 , Sector 87, Bhangrola and Dhorka. Connectivity..."
3 BHK Apartment ,Sector 79,"38,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
2 BHK Apartment ,Sector 79,"39,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
3 BHK Apartment ,Sector 89A,"31,000",No Deposit,,
2 BHK Apartment ,Sector 79,"34,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
3 BHK Independent Floor ,Sector 57,"60,000",No Deposit,,"This area is situated in industrial centre of Gurgaon , around 45 kilometres southwest of Delhi . The adjacent regions of this area are Samaspur, Sector 51 , Sector 52 , and Mohammedpur Jharsa...."
2 BHK Independent Floor ,Sector 56,"30,000",No Deposit,,Sector 56 is a residential neighbourhood in Gurgaon . It is flanked by Golf Course Extension Road towards the south and by Tau Devi Lal Biodiversity Park lies to its north. Several commercial...
4 BHK Independent Floor ,Sector 49,1.5,No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Independent Floor ,Sector 49,"38,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Apartment ,Sector 91,"32,000",No Deposit,,"Sector 91 is located close to DLF Road in New Gurgaon . The area is primarily a residential one and is surrounded by areas like Sector 92 , Sector 86 , Sector 87, Bhangrola and Dhorka. Connectivity..."
3 BHK Independent Floor ,Ashok Vihar Phase III Extension,"30,000",No Deposit,,
2 BHK Independent Floor ,PALAM VIHAR,"35,000",No Deposit,,
3 BHK Independent Floor ,PALAM VIHAR,"45,000",No Deposit,,
3 BHK Independent Floor ,PALAM VIHAR,"42,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"65,000",No Deposit,,
3 BHK Independent Floor ,sector 23a,"35,000",No Deposit,,
4 BHK Independent House ,PALAM VIHAR,"60,000",No Deposit,,
3 BHK Independent Floor ,PALAM VIHAR,"40,000",No Deposit,,
2 BHK Independent Floor ,PALAM VIHAR,"26,000",No Deposit,,
3 BHK Apartment ,Sector 79,"36,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
3 BHK Independent Floor ,sector 23a,"40,000",No Deposit,,
3 BHK Apartment ,Sector 79,"36,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
2 BHK Apartment ,Sector 77,"24,500",No Deposit,,"Sector 77 is located along Delhi - Jaipur Expressway in Gurgaon . The area is surrounded by neighbourhoods like Sector 76 , Sector 78 , Harbala Dhani Shikohpur and Hasanpur. Connectivity Sector 77 is..."
3 BHK Independent Floor ,Sector 21,"50,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"75,000",No Deposit,,
3 BHK Apartment ,Sector 54,2.25,No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
4 BHK Independent Floor ,PALAM VIHAR,"75,000",No Deposit,,
3 BHK Apartment ,Palam Vihar Extension,"40,000",No Deposit,,
4 BHK Independent Floor ,Sector 47,1,No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
4 BHK Independent Floor ,PALAM VIHAR,"80,000",No Deposit,,
3 BHK Apartment ,Sector 53,"58,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"45,000",No Deposit,,
3 BHK Apartment ,Sector 53,"62,000",No Deposit,,
3 BHK Apartment ,Sector 53,"57,000",No Deposit,,
3 BHK Apartment ,Sector 53,"74,500",No Deposit,,
3 BHK Apartment ,Sector 53,"60,000",No Deposit,,
3 BHK Apartment ,Sector 53,"61,000",No Deposit,,
3 BHK Independent Floor ,Sector 54,"70,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
4 BHK Apartment ,Sector 53,"78,000",No Deposit,,
3 BHK Apartment ,Sector 53,"60,000",No Deposit,,
2 BHK Apartment ,Sector 53,"58,000",No Deposit,,
4 BHK Apartment ,Sector 53,"70,000",No Deposit,,
4 BHK Apartment ,Sector 53,"68,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"45,000",No Deposit,,
3 BHK Apartment ,Sector 53,"70,000",No Deposit,,
4 BHK Apartment ,Sector 53,"71,000",No Deposit,,
4 BHK Apartment ,Sector 54,2.9,No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Apartment ,Sector 53,"58,500",No Deposit,,
3 BHK Independent Floor ,Sector 54,"75,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Apartment ,Sector 90,"40,000",No Deposit,,
2 BHK Apartment ,Sector 111,"21,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"70,000",No Deposit,,
3 BHK Apartment ,Sector 110A,"65,000",No Deposit,,"Sector 110 -A of Gurgaon falls within the National Capital Region. Ganga Vihar, Palam Vihar, New Palam Vihar Phase 3 , Chandan Vihar, Sector 2 and Chauma village are the sectors bordering it...."
3 BHK Independent Floor ,PALAM VIHAR,"50,000",No Deposit,,
3 BHK Independent Floor ,sector 23a,"42,000",No Deposit,,
2 BHK Independent House ,PALAM VIHAR,"32,000",No Deposit,,
4 BHK Independent Floor ,PALAM VIHAR,"80,000",No Deposit,,
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
2 BHK Apartment ,Sector 2 Sohna,"22,000",No Deposit,,"Sohna is a residential town located at a distance of around 24 kilometers from Gurgaon . Its proximity to Gurgaon creates demand for affordable apartments in Sector 2 Sohna , Gurgaon . The highway..."
3 BHK Apartment ,Sector 77,"30,000",No Deposit,,"Sector 77 is located along Delhi - Jaipur Expressway in Gurgaon . The area is surrounded by neighbourhoods like Sector 76 , Sector 78 , Harbala Dhani Shikohpur and Hasanpur. Connectivity Sector 77 is..."
4 BHK Apartment ,Sector 53,"70,500",No Deposit,,
4 BHK Apartment ,Sector 104,"41,700",No Deposit,,
3 BHK Independent Floor ,Sector 54,"65,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Apartment ,Sector 104,"35,200",No Deposit,,
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
2 BHK Apartment ,Sector 108,"34,900",No Deposit,,
3 BHK Apartment ,Sector 77,"29,800",No Deposit,,"Sector 77 is located along Delhi - Jaipur Expressway in Gurgaon . The area is surrounded by neighbourhoods like Sector 76 , Sector 78 , Harbala Dhani Shikohpur and Hasanpur. Connectivity Sector 77 is..."
3 BHK Apartment ,Sector 112,"50,400",No Deposit,,
2 BHK Apartment ,Sector 108,"34,900",No Deposit,,
1 RK Studio Apartment ,Sector 51,"22,000",No Deposit,,
2 BHK Independent Floor ,Sector 45,"40,000",No Deposit,,"Sector 45 is a suburb of Gurgaon , located near NH 8 or Delhi - Gurgaon Expressway. It is surrounded by areas including Sector 46 , Sector 31 , Sector 39 , Sector 41 and Bindapur. Connectivity Delhi..."
3 BHK Apartment ,Sector 92,"14,000",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
3 BHK Apartment ,Sector 92,"17,100",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
1 RK Studio Apartment ,Sector 40,"16,000",No Deposit,,"Sector 40 is a residential neighbourhood close to Sector 30 , M Wide Main Road in Gurgaon . It is surrounded by areas like Sector 39 , Sector 31 , Silokhera, Moti Vihar, Jal Vayu Vihar and Sector 45..."
1 BHK Independent Floor ,Sector 46,"24,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
2 BHK Independent Floor ,Sector 45,"40,000",No Deposit,,"Sector 45 is a suburb of Gurgaon , located near NH 8 or Delhi - Gurgaon Expressway. It is surrounded by areas including Sector 46 , Sector 31 , Sector 39 , Sector 41 and Bindapur. Connectivity Delhi..."
3 BHK Independent Floor ,Sector 39,"55,000",No Deposit,,"Sector 39 is residential locality in Gurgaon city. Sector 38 , Sector 46 , Sector 31 , Sector 40 , Lig Colony are the neighbouring localities situated in a radius of about 1 km. It is situated at a..."
1 BHK Independent Floor ,Sector 46,"21,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 46,"38,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 46,"21,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 52,"65,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
3 BHK Apartment ,Sector 48,"68,000",No Deposit,,
3 BHK Apartment ,Sector 68,"60,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 68,"45,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 92,"14,100",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
3 BHK Apartment ,Sector 92,"24,900",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
3 BHK Apartment ,Sector 48,"68,000",No Deposit,,
3 BHK Apartment ,Sector 79,"33,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
3 BHK Apartment ,Sector 90,"38,000",No Deposit,,
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
4 BHK Apartment ,Sector 106,"42,500",No Deposit,,
3 BHK Apartment ,Sector 83,"57,000",No Deposit,,"Sector 83 is a neighbourhood in the satellite town of Gurgaon , situated 44 kilometres southwest of Delhi . Located off NH 8 , this area lies in close proximity to Badshahpur , Manesar , and..."
3 BHK Independent Floor ,Sector 48,"55,000",No Deposit,,
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
5 BHK Apartment ,Sector 70,"70,000",,,"Sector 70 is a residential neighbourhood in Gurgaon . It is surrounded by areas including Sectors 69, 73, 75, and Nirvana Country -II. The area is located close to Vatika Business Park, which makes..."
3 BHK Apartment ,Sector 79,"34,000",,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
2 BHK Apartment ,Sector 67,"45,000",,,"Sector 67 is a residential neighbourhood located along NH 248A. The neighbourhood is surrounded by areas like Sector 38 , Dhumaspur, Medawas and Badshahpur . The area is also a short drive from Golf..."
3 BHK Apartment ,Sector 79,"33,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
4 BHK Apartment ,Sector 106,"42,500",No Deposit,,
2 BHK Apartment ,Sector 102,"28,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
5 BHK Apartment ,Sector 68,"70,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
2 BHK Apartment ,Sector 113,"30,000",No Deposit,,
3 BHK Apartment ,Sector 68,"60,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 74,"60,000",No Deposit,,
2 BHK Apartment ,Sector 86,"35,000",No Deposit,,
3 BHK Apartment ,Sector 84,"33,000",No Deposit,,Sector 84 is one of Gurgaons top residential zones and offers good connectivity to most areas in the city and Delhi alike. The locality has developed rapidly over the last few years. Connectivity...
3 BHK Apartment ,Sector 113,"55,000",No Deposit,,
2 BHK Apartment ,Sector 108,"42,000",No Deposit,,
3 BHK Apartment ,Sector 50,"60,000",No Deposit,,
3 BHK Apartment ,Sector 70,"60,000",No Deposit,,"Sector 70 is a residential neighbourhood in Gurgaon . It is surrounded by areas including Sectors 69, 73, 75, and Nirvana Country -II. The area is located close to Vatika Business Park, which makes..."
2 BHK Apartment ,Sector 113,"30,000",No Deposit,,
2 BHK Apartment ,Sector 67,"33,000",No Deposit,,"Sector 67 is a residential neighbourhood located along NH 248A. The neighbourhood is surrounded by areas like Sector 38 , Dhumaspur, Medawas and Badshahpur . The area is also a short drive from Golf..."
3 BHK Apartment ,Sector 91,"32,000",No Deposit,,"Sector 91 is located close to DLF Road in New Gurgaon . The area is primarily a residential one and is surrounded by areas like Sector 92 , Sector 86 , Sector 87, Bhangrola and Dhorka. Connectivity..."
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 68,"50,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
4 BHK Apartment ,Sector 104,"33,000",No Deposit,,
3 BHK Apartment ,Sector 102,"33,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
2 BHK Apartment ,Sector 102,"28,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
5 BHK Apartment ,Sector 68,"70,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
2 BHK Apartment ,Sector 95,"20,000",No Deposit,,
3 BHK Apartment ,Sector 95,"26,000",No Deposit,,
4 BHK Apartment ,Sector 106,"42,500",No Deposit,,
4 BHK Apartment ,Sector 82A,"60,000",No Deposit,,Sector 82A is a noted residential zone in Gurgaon . The area has attained huge popularity owing to its proximity to several business and residential destinations in the city. The locality has...
4 BHK Apartment ,Sector 81,"60,000",No Deposit,,"This locality in Gurgaon is situated 61 kilometres south-west of Delhi , and is in close proximity to Delhi - Ajmer Highway. It is surrounded by sectors 85, 81, 82, and 86. Prestigious companies such..."
3 BHK Apartment ,Sector 66,"75,000",No Deposit,,
4 BHK Apartment ,Sector 57,"75,000",No Deposit,,"This area is situated in industrial centre of Gurgaon , around 45 kilometres southwest of Delhi . The adjacent regions of this area are Samaspur, Sector 51 , Sector 52 , and Mohammedpur Jharsa...."
3 BHK Apartment ,Sector 65,"60,000",No Deposit,,"Sector 65 is an upscale neighbourhood located in Gurgaon . It is surrounded by areas including Medawas, Badshahpur , Sector 61 , Sector 60 and Sector 64. The neighbourhood is in proximity of..."
4 BHK Apartment ,Sector 66,"85,000",No Deposit,,
3 BHK Apartment ,Sector 65,"60,000",No Deposit,,"Sector 65 is an upscale neighbourhood located in Gurgaon . It is surrounded by areas including Medawas, Badshahpur , Sector 61 , Sector 60 and Sector 64. The neighbourhood is in proximity of..."
4 BHK Apartment ,Sector 51,"75,000",No Deposit,,
4 BHK Apartment ,Sector 62,"85,000",No Deposit,,Sector 62 is a leading residential destination in Gurgaon and lies along the Gold Course Extension Road. The area has witnessed huge development in recent years with rapid growth in social...
3 BHK Apartment ,Sector 47,"65,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
4 BHK Apartment ,Sector 50,"68,000",No Deposit,,
4 BHK Apartment ,Sector 67,"85,000",No Deposit,,"Sector 67 is a residential neighbourhood located along NH 248A. The neighbourhood is surrounded by areas like Sector 38 , Dhumaspur, Medawas and Badshahpur . The area is also a short drive from Golf..."
3 BHK Apartment ,Sector 51,"65,000",No Deposit,,
2 BHK Apartment ,Sector 79,"23,000",No Deposit,,Sector 79 is one of the popular residential destinations in Gurgaon . The area is known for developed infrastructural facilities and proximity to almost all important destinations in Gurgaon ....
3 BHK Apartment ,Sector 47,"65,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
2 BHK Apartment ,Sector 81,"30,000",No Deposit,,"This locality in Gurgaon is situated 61 kilometres south-west of Delhi , and is in close proximity to Delhi - Ajmer Highway. It is surrounded by sectors 85, 81, 82, and 86. Prestigious companies such..."
3 BHK Apartment ,Sector 68,"51,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
4 BHK Apartment ,Sector 65,"65,000",No Deposit,,"Sector 65 is an upscale neighbourhood located in Gurgaon . It is surrounded by areas including Medawas, Badshahpur , Sector 61 , Sector 60 and Sector 64. The neighbourhood is in proximity of..."
4 BHK Apartment ,Sector 68,"83,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 68,"50,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 70A,"60,000",No Deposit,,
3 BHK Apartment ,Sector 59,1.5,No Deposit,,
3 BHK Apartment ,Sector 68,"60,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
2 BHK Apartment ,Sector 108,"42,000",No Deposit,,
3 BHK Apartment ,Sector 104,"45,000",No Deposit,,
3 BHK Apartment ,Sector 90,"38,000",No Deposit,,
3 BHK Apartment ,Sector 68,"50,000",No Deposit,,"Sector 68 is a suburb along NH 248A in Gurgaon . It is surrounded by areas like Sector 38 , Sector 69 , Nurpur, Sector 70A , Ramgarh and Badshahpur . Golf Course Extension Road is also a short drive..."
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 113,"55,000",No Deposit,,
4 BHK Apartment ,Sector 66,"85,000",No Deposit,,
3 BHK Apartment ,Sector 49,"68,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Apartment ,Sector 48,"68,000",No Deposit,,
3 BHK Apartment ,Sector 48,"70,000",No Deposit,,
3 BHK Apartment ,Sector 48,"70,000",No Deposit,,
2 BHK Apartment ,Sector 84,"30,000",No Deposit,,Sector 84 is one of Gurgaons top residential zones and offers good connectivity to most areas in the city and Delhi alike. The locality has developed rapidly over the last few years. Connectivity...
3 BHK Apartment ,Sector 107,"34,000",No Deposit,,
3 BHK Apartment ,Sector 102,"36,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
4 BHK Apartment ,Sector 104,"33,000",No Deposit,,
3 BHK Apartment ,Sector 102,"38,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
4 BHK Apartment ,Sector 50,"68,000",No Deposit,,
3 BHK Apartment ,Sector 102,"35,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 102,"38,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 22 Gurgaon,"33,000",No Deposit,,"Sector 22 Gurgaon is one of the residential localities. The locality is in proximity with Old Delhi Road. It is located in closeness with Sectors 92, 69, 107, 50, 62, 81, 88B, 24 Dharuhera and 68...."
